board_addr,board_name,ch,axis_name,system,servo_model,rail,rail_voltage_v,neutral_us,min_us,max_us,mech_range_deg,soft_limit,direction_invert,wired_2026,status,notes
0x40,PCA9685 #1,0,upperLip,R,MG92B,A,5.8,未校正,未実測,未実測,未確認,未定,未定,no,未実装,R系予約軸。2027年R5で確定。2026年は物理接続しない
0x40,PCA9685 #1,1,cheekRight,R,MG92B,A,5.8,未校正,未実測,未実測,未確認,未定,未定,no,未実装,R系予約軸。2027年R5で確定
0x40,PCA9685 #1,2,cheekLeft,R,MG92B,A,5.8,未校正,未実測,未実測,未確認,未定,未定,no,未実装,R系予約軸。2027年R5で確定
0x40,PCA9685 #1,3,eyebrowRight,R,SG92R,A,5.8,未校正,未実測,未実測,未確認,未定,未定,no,未実装,R系予約軸。2027年R5で確定
0x40,PCA9685 #1,4,eyebrowLeft,R,SG92R,A,5.8,未校正,未実測,未実測,未確認,未定,未定,no,未実装,R系予約軸。2027年R5で確定
0x40,PCA9685 #1,5,foreheadRight,R,SG92R,A,5.8,未校正,未実測,未実測,未確認,未定,未定,no,未実装,R系予約軸。2027年R5で確定
0x40,PCA9685 #1,6,foreheadLeft,R,SG92R,A,5.8,未校正,未実測,未実測,未確認,未定,未定,no,未実装,R系予約軸。2027年R5で確定
0x40,PCA9685 #1,7,eyeLeftX,L,JX PDI-1109MG（未発注）,A,5.8,1500,未実測,未実測,未確認,未定,未定,no,未実装,左目眼球水平。左右独立サーボ・ソフトウェア同期(#32)。L-Phase 4で実装
0x40,PCA9685 #1,8,eyeLeftY,L,JX PDI-1109MG（未発注）,A,5.8,1500,未実測,未実測,未確認,未定,未定,no,未実装,左目眼球垂直。L-Phase 4で実装
0x40,PCA9685 #1,9,eyeRightX,L,JX PDI-1109MG（未発注）,A,5.8,1500,未実測,未実測,未確認,未定,未定,no,未実装,右目眼球水平。L-Phase 4で実装
0x40,PCA9685 #1,10,eyeRightY,L,JX PDI-1109MG（未発注）,A,5.8,1500,未実測,未実測,未確認,未定,未定,no,未実装,右目眼球垂直。L-Phase 4で実装
0x40,PCA9685 #1,11,tasteSensorLift,S,MG92B,A,5.8,1500,未実測,未実測,90（片側45）,未定,未定,yes,未実装,味覚プレート昇降。在庫MG92Bあり。ベンチ単体試験は可能
0x40,PCA9685 #1,12,eyelidLeftUpper,L,JX PDI-1109MG（未発注）,A,5.8,1500,未実測,未実測,未確認,未定,未定,no,未実装,左上瞼。SG92R充当は#33で保留中（公式がSG90級を非推奨）
0x40,PCA9685 #1,13,eyelidLeftLower,L,JX PDI-1109MG（未発注）,A,5.8,1500,未実測,未実測,未確認,未定,未定,no,未実装,左下瞼。#33保留中
0x40,PCA9685 #1,14,eyelidRightUpper,L,JX PDI-1109MG（未発注）,A,5.8,1500,未実測,未実測,未確認,未定,未定,no,未実装,右上瞼。#33保留中
0x40,PCA9685 #1,15,eyelidRightLower,L,JX PDI-1109MG（未発注）,A,5.8,1500,未実測,未実測,未確認,未定,未定,no,未実装,右下瞼。#33保留中
0x41,PCA9685 #2,0,neckRotate,L,HS-805BB ×2（未発注）,B,5.0,1500,未実測,未実測,小角度から実測開始,単軸駆動ルール適用,未定,no,未実装,首と顎の同時駆動禁止。発注前に5V時トルク確認(#6)とホルダ実寸照合(#12)
0x41,PCA9685 #2,1,neckUpDown,L,HS-805BB ×2（未発注）,B,5.0,1500,90-5から開始,90+5から開始,90±5から実測開始,単軸駆動ルール適用,未定,no,未実装,首と顎の同時駆動禁止。L-Phase 3で実装
0x41,PCA9685 #2,2,jaw,L,MG996R／DS3218MG（選定中）,B,5.0,該当なし（閉位置0度基準）,閉=0度,試験15度／ハードコード上限20度,0-20,20度をソフト絶対リミットとしてハードコード,未定,no,未実装,首と同時駆動禁止。機械ストッパーとソフト制限を併用。L-Phase 5で実装
0x41,PCA9685 #2,3,throatGate,S,MG92B,B,5.0,1500,未実測,未実測,90（片側45）,未定,未定,yes,未実装,通常時クローズ。非通電時も閉じる機構が必要(#14)。在庫MG92Bあり
0x41,PCA9685 #2,4,rollNeckRight,未確定,未定,B,5.0,未定,未定,未定,未定,未定,未定,no,未採用,InMoov i2首傾げオプション。採用時にL系かR系か決定(#20)
0x41,PCA9685 #2,5,rollNeckLeft,未確定,未定,B,5.0,未定,未定,未定,未定,未定,未定,no,未採用,同上
0x41,PCA9685 #2,6,予備,-,-,B,5.0,-,-,-,-,-,-,no,空き,唾液系など将来枠
0x41,PCA9685 #2,7,予備,-,-,B,5.0,-,-,-,-,-,-,no,空き,唾液系など将来枠
0x41,PCA9685 #2,8,予備,-,-,B,5.0,-,-,-,-,-,-,no,空き,唾液系など将来枠
0x41,PCA9685 #2,9,予備,-,-,B,5.0,-,-,-,-,-,-,no,空き,唾液系など将来枠
0x41,PCA9685 #2,10,予備,-,-,B,5.0,-,-,-,-,-,-,no,空き,唾液系など将来枠
0x41,PCA9685 #2,11,予備,-,-,B,5.0,-,-,-,-,-,-,no,空き,唾液系など将来枠
0x41,PCA9685 #2,12,予備,-,-,B,5.0,-,-,-,-,-,-,no,空き,唾液系など将来枠
0x41,PCA9685 #2,13,予備,-,-,B,5.0,-,-,-,-,-,-,no,空き,唾液系など将来枠
0x41,PCA9685 #2,14,予備,-,-,B,5.0,-,-,-,-,-,-,no,空き,唾液系など将来枠
0x41,PCA9685 #2,15,予備,-,-,B,5.0,-,-,-,-,-,-,no,空き,唾液系など将来枠
